USER_ID,LAST_NAME,Req_SQL_score,Req_Microsoft Power BI_score,Req_Databricks_score,english_score,french_score,experience_score,Pref_DAX_score,Pref_Microsoft Power BI_score,Pref_Matillion ETL_score,availability_score
2843838,Ramos,50.0,0.0,0.0,100.0,100.0,10,0.0,0.0,0.0,0.0
2479537,Small,0.0,0.0,0.0,90.0,100.0,30,0.0,0.0,0.0,0.0
2533337,Evans,50.0,0.0,0.0,50.0,100.0,30,20.0,0.0,0.0,75.0
2446382,Pittman,80.0,80.0,0.0,60.0,100.0,30,0.0,80.0,0.0,72.5
2433124,Thomas,0.0,0.0,0.0,100.0,100.0,30,0.0,0.0,0.0,75.0
2817191,Johnson,0.0,0.0,0.0,100.0,100.0,10,0.0,0.0,0.0,52.5
2936770,Choi,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,72.5
2501258,Martinez,0.0,0.0,0.0,100.0,100.0,30,0.0,0.0,0.0,75.0
2433139,Holden,0.0,0.0,0.0,100.0,100.0,30,0.0,0.0,0.0,100.0
2480827,Hubbard,60.0,80.0,0.0,90.0,0.0,30,60.0,80.0,0.0,100.0
2433122,Cox,90.0,0.0,0.0,80.0,100.0,30,0.0,0.0,0.0,75.0
2433125,Smith,0.0,80.0,0.0,100.0,100.0,30,0.0,80.0,0.0,50.0
2513848,Brown,60.0,0.0,0.0,80.0,100.0,30,0.0,0.0,0.0,50.0
2433130,Simpson,0.0,0.0,0.0,100.0,100.0,30,0.0,0.0,0.0,0.0
2447746,Payne,70.0,100.0,0.0,70.0,100.0,30,70.0,100.0,0.0,100.0
2433144,Robertson,100.0,0.0,0.0,100.0,100.0,30,0.0,0.0,0.0,50.0
2433117,Black,80.0,60.0,0.0,100.0,100.0,30,70.0,60.0,30.0,0.0
2433135,Nichols,0.0,0.0,0.0,100.0,100.0,30,0.0,0.0,0.0,0.0
2475141,Peck,0.0,60.0,0.0,100.0,100.0,30,20.0,60.0,0.0,97.5
2445183,Valencia,100.0,100.0,0.0,100.0,100.0,30,100.0,100.0,0.0,0.0
2671704,Blackburn,50.0,0.0,40.0,80.0,100.0,30,0.0,0.0,0.0,100.0
2501164,Alexander,0.0,0.0,0.0,100.0,100.0,30,0.0,0.0,0.0,72.5
2451715,Stanley,80.0,0.0,0.0,100.0,100.0,30,0.0,0.0,0.0,0.0
2446130,Blake,0.0,0.0,0.0,80.0,100.0,30,0.0,0.0,0.0,100.0
2452725,Harris,100.0,100.0,100.0,100.0,100.0,30,0.0,100.0,0.0,0.0
2977311,Moore,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,97.5
2583132,Mcgee,80.0,70.0,0.0,70.0,90.0,30,60.0,70.0,0.0,100.0
2513866,Jones,80.0,60.0,0.0,90.0,100.0,30,60.0,60.0,0.0,0.0
2443989,Hopkins,100.0,0.0,0.0,100.0,100.0,30,0.0,0.0,0.0,100.0
2700124,Kelly,80.0,50.0,0.0,80.0,60.0,30,40.0,50.0,0.0,0.0
2836571,Foster,90.0,70.0,40.0,80.0,100.0,10,40.0,70.0,0.0,75.0
2683916,Burns,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,50.0
2978961,Solis,0.0,90.0,0.0,100.0,0.0,10,0.0,90.0,0.0,75.0
2432194,Middleton,0.0,0.0,0.0,100.0,100.0,30,0.0,0.0,0.0,50.0
2453262,Caldwell,0.0,70.0,0.0,60.0,100.0,30,0.0,70.0,0.0,52.5
2443199,Howell,90.0,80.0,0.0,80.0,100.0,30,70.0,80.0,0.0,97.5
3072774,Stein,50.0,0.0,0.0,90.0,100.0,10,0.0,0.0,0.0,75.0
2726335,Thompson,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,77.5
2433140,Smith,0.0,0.0,0.0,100.0,100.0,30,0.0,0.0,0.0,97.5
2503861,Jones,0.0,0.0,0.0,90.0,0.0,30,0.0,0.0,0.0,75.0
2433083,Welch,0.0,0.0,0.0,80.0,100.0,30,0.0,0.0,0.0,50.0
2471586,Owens,0.0,0.0,0.0,0.0,100.0,30,0.0,0.0,0.0,100.0
2578963,Kelly,80.0,90.0,0.0,80.0,100.0,30,80.0,90.0,0.0,75.0
2903451,Huynh,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0
2766619,Humphrey,0.0,80.0,0.0,80.0,100.0,30,0.0,80.0,50.0,0.0
2841644,Cannon,0.0,0.0,0.0,90.0,100.0,10,0.0,0.0,0.0,75.0
2708864,Ortega,60.0,60.0,0.0,60.0,100.0,30,0.0,60.0,0.0,50.0
2967233,Ballard,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,95.0
2446029,Reyes,0.0,0.0,0.0,100.0,100.0,30,0.0,0.0,0.0,0.0
2693756,Miranda,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0
2513831,Alvarado,80.0,40.0,0.0,60.0,100.0,30,0.0,40.0,0.0,75.0
2453233,Boyd,100.0,100.0,0.0,100.0,100.0,30,80.0,100.0,0.0,0.0
2552838,Colon,0.0,0.0,0.0,60.0,100.0,30,0.0,0.0,0.0,0.0
2445156,Wells,0.0,0.0,0.0,100.0,100.0,30,0.0,0.0,0.0,0.0
2433109,Haley,100.0,0.0,0.0,80.0,100.0,30,100.0,0.0,100.0,50.0
2433142,Sullivan,80.0,0.0,0.0,100.0,100.0,30,0.0,0.0,0.0,50.0
2437177,Johnson,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0
2449548,Adams,100.0,0.0,0.0,60.0,100.0,30,0.0,0.0,100.0,0.0
2450849,Cox,0.0,100.0,0.0,100.0,100.0,30,0.0,100.0,0.0,100.0
2502347,Allen,0.0,0.0,0.0,100.0,100.0,30,0.0,0.0,0.0,77.5
2645516,Perry,80.0,60.0,0.0,100.0,100.0,30,0.0,60.0,0.0,0.0
2447527,Blackwell,0.0,0.0,0.0,80.0,100.0,30,0.0,0.0,0.0,97.5
